Geneid	siControl_A	siControl_B	siControl_C	siHOXA3_A	siHOXA3_B	siHOXA3_C
ENSG00000241790	0	0	0	0	0	0
ENSG00000082126	2	2	1	4	4	5
ENSG00000222972	0	0	0	0	0	0
ENSG00000003393	1508	1521	1510	1555	1320	1312
ENSG00000230799	10	5	14	7	9	6
ENSG00000138395	3	0	0	2	3	0
ENSG00000202137	0	0	0	0	0	0
ENSG00000231124	0	0	0	0	0	0
ENSG00000212184	0	0	0	0	0	0
ENSG00000273209	0	1	0	0	2	1
ENSG00000155760	849	866	675	789	833	652
ENSG00000182329	1	2	0	2	1	3
ENSG00000222035	1	0	2	0	0	0
ENSG00000231903	0	0	0	0	3	2
ENSG00000227890	0	0	0	0	0	0
ENSG00000223825	3	0	1	0	0	0
ENSG00000116030	1532	1702	1701	1666	2021	1555
ENSG00000224463	0	0	0	1	1	0
ENSG00000055044	1552	1590	1636	1502	1841	1434
ENSG00000212534	0	2	0	2	1	0
ENSG00000212309	0	0	0	0	0	0
ENSG00000271852	0	0	0	0	0	0
ENSG00000238317	2	3	5	11	5	7
ENSG00000264275	2	1	0	0	0	0
ENSG00000226261	0	0	0	0	0	3
ENSG00000272966	0	0	0	0	1	0
ENSG00000242696	0	1	0	0	0	1
ENSG00000273456	10	5	10	11	17	11
ENSG00000204217	1217	1388	1482	1362	1103	1403
ENSG00000270915	0	1	0	0	0	0
ENSG00000236047	0	1	3	3	2	2
ENSG00000223619	0	0	0	0	0	0
ENSG00000233888	0	0	0	1	0	0
ENSG00000235433	0	1	0	0	0	0
ENSG00000237542	0	0	0	0	0	0
ENSG00000233134	0	0	0	0	0	0
ENSG00000241221	0	0	0	0	0	0
ENSG00000227454	0	0	0	0	0	0
ENSG00000233311	0	0	0	0	0	0
ENSG00000138439	426	439	435	432	444	446
ENSG00000163596	249	261	323	296	269	284
ENSG00000240761	0	0	0	0	0	0
ENSG00000233579	2	0	0	7	2	1
ENSG00000138442	714	740	825	644	800	558
ENSG00000138380	273	351	347	314	316	341
ENSG00000232479	1	4	0	7	2	1
ENSG00000270664	0	0	2	0	0	0
ENSG00000144426	508	460	530	480	217	474
ENSG00000232994	2	1	6	1	0	4
ENSG00000202059	4	1	1	0	0	0
ENSG00000228513	7	3	0	4	0	1
ENSG00000225124	0	0	0	2	0	0
ENSG00000204196	0	0	0	0	0	0
ENSG00000119004	332	216	235	258	356	325
ENSG00000264041	0	0	0	0	0	0
ENSG00000238285	3	0	0	0	0	0
ENSG00000138443	2025	2227	2166	2068	2009	1973
ENSG00000256458	1	0	0	1	1	0
ENSG00000173166	123	81	85	103	44	118
ENSG00000233459	0	0	1	0	0	0
ENSG00000233031	0	0	0	0	0	0
ENSG00000178562	0	0	0	0	0	0
ENSG00000224791	0	0	0	0	0	0
ENSG00000213925	0	0	0	0	0	0
ENSG00000206970	0	0	0	0	0	0
ENSG00000163599	0	0	0	0	0	0
ENSG00000163600	0	0	0	0	0	0
ENSG00000235951	0	0	0	0	0	0
ENSG00000234714	0	0	0	0	0	0
ENSG00000237271	0	0	0	0	0	0
ENSG00000236681	0	0	0	0	0	0
ENSG00000225304	0	0	0	0	0	0
ENSG00000236634	0	0	0	0	0	0
ENSG00000237843	0	0	0	0	0	0
ENSG00000116117	220	176	222	181	153	177
ENSG00000223890	0	0	0	0	1	0
ENSG00000118257	2434	2439	2309	2233	1539	2276
ENSG00000225216	0	3	1	1	2	6
ENSG00000201875	0	0	0	0	0	0
ENSG00000213739	0	0	0	0	0	0
ENSG00000225610	1	0	0	0	0	0
ENSG00000114933	706	624	713	640	488	701
ENSG00000252485	0	0	0	0	0	0
ENSG00000207386	0	0	0	0	0	0
ENSG00000237041	0	2	0	0	0	0
ENSG00000227946	17	22	5	25	35	29
ENSG00000023228	1687	1741	1765	1596	1633	1651
ENSG00000231955	0	0	0	0	0	0
ENSG00000237580	0	0	0	0	0	0
ENSG00000114942	3456	3764	3935	3464	4978	3437
ENSG00000277502	0	0	0	0	0	0
ENSG00000281780	1	0	2	0	0	0
ENSG00000207047	0	0	4	1	0	0
ENSG00000207406	0	0	0	0	0	0
ENSG00000183671	9	3	15	9	10	7
ENSG00000279220	0	0	0	0	0	0
ENSG00000222496	0	0	0	0	0	0
ENSG00000159186	0	0	0	0	0	0
ENSG00000224070	0	0	0	0	0	0
ENSG00000252716	0	0	0	0	0	0
ENSG00000204186	1480	1554	1584	1269	963	1249
ENSG00000180105	0	1	0	2	0	0
ENSG00000234491	0	0	0	0	0	0
ENSG00000114948	75	72	51	81	62	80
ENSG00000228577	2	0	1	5	1	0
ENSG00000231653	0	0	0	0	0	0
ENSG00000235118	0	0	0	0	0	0
ENSG00000232125	0	0	0	0	0	0
ENSG00000213083	0	0	0	0	0	0
ENSG00000207319	0	0	0	0	0	1
ENSG00000138400	25	9	10	12	23	21
ENSG00000118246	726	747	843	735	919	763
ENSG00000263468	0	0	0	0	0	0
ENSG00000283469	0	0	0	0	0	0
ENSG00000260171	0	0	0	0	0	0
ENSG00000229321	1	0	2	1	0	0
ENSG00000144410	4	0	4	1	1	2
ENSG00000118263	144	158	140	152	106	139
ENSG00000253008	0	0	0	0	0	0
ENSG00000237892	0	1	0	4	0	0
ENSG00000277590	0	0	0	0	1	0
ENSG00000224342	0	0	0	0	0	0
ENSG00000234902	0	2	3	2	4	0
ENSG00000225916	0	1	0	0	0	0
ENSG00000240440	0	0	0	3	0	1
ENSG00000229647	2	3	0	0	0	1
ENSG00000223725	5	4	0	0	4	1
ENSG00000225064	0	0	0	0	0	0
ENSG00000221628	0	0	0	0	0	0
ENSG00000118260	1325	1433	1454	1363	1282	1303
ENSG00000144401	302	280	340	341	338	255
ENSG00000223433	0	0	0	0	0	0
ENSG00000224137	0	0	0	0	0	0
ENSG00000199251	0	0	0	0	0	0
ENSG00000213082	0	0	0	2	0	0
ENSG00000200764	0	0	0	0	0	0
ENSG00000163249	511	511	469	449	489	445
ENSG00000272851	0	0	0	0	0	0
ENSG00000284079	0	0	0	0	0	0
ENSG00000163251	719	717	732	661	630	696
ENSG00000178385	294	288	302	323	154	271
ENSG00000225111	0	8	3	0	1	0
ENSG00000212246	0	0	0	0	0	0
ENSG00000185078	0	0	0	0	0	0
ENSG00000251941	0	0	0	0	0	0
ENSG00000224839	0	0	0	0	0	0
ENSG00000229150	0	0	0	0	0	0
ENSG00000118231	0	0	0	0	0	0
ENSG00000163254	0	0	0	0	0	0
ENSG00000224529	0	0	0	0	0	0
ENSG00000182187	0	0	0	0	0	0
ENSG00000168582	0	0	0	0	0	0
ENSG00000188674	0	0	0	0	0	0
ENSG00000233869	0	0	0	0	0	0
ENSG00000228111	0	0	0	0	0	0
ENSG00000138413	4810	5649	6005	4835	6282	4474
ENSG00000231908	5	2	11	8	3	12
ENSG00000115020	1606	1594	1632	1567	1345	1533
ENSG00000228380	1	0	0	0	0	0
ENSG00000144407	0	0	0	0	0	0
ENSG00000213081	0	0	0	0	0	0
ENSG00000227430	0	0	0	0	0	0
ENSG00000231896	0	0	0	0	0	0
ENSG00000232409	0	0	0	0	0	0
ENSG00000202164	0	0	0	0	0	0
ENSG00000235864	0	0	0	0	0	0
ENSG00000232799	0	0	0	0	0	0
ENSG00000240286	0	0	0	0	0	0
ENSG00000229670	0	0	0	1	0	0
ENSG00000078018	46	71	47	66	59	52
ENSG00000222317	1	0	1	0	0	3
ENSG00000144406	8	2	0	3	3	4
ENSG00000237194	1	0	0	0	0	0
ENSG00000197713	827	935	985	878	1014	774
ENSG00000144445	433	505	540	510	465	496
ENSG00000272807	20	12	19	11	19	19
ENSG00000229127	17	21	35	45	23	34
ENSG00000231063	10	0	4	6	0	6
ENSG00000279317	5	4	0	1	2	4
ENSG00000115361	79	73	81	101	103	73
ENSG00000199203	0	0	0	0	0	0
ENSG00000168530	0	0	0	0	0	0
ENSG00000234281	24	15	19	16	11	23
ENSG00000115365	1532	1738	1738	1535	1425	1389
ENSG00000021826	1021	994	952	726	575	681
ENSG00000280837	1	0	0	0	0	0
ENSG00000271074	0	0	0	0	0	0
ENSG00000231017	0	0	0	0	0	0
ENSG00000178568	88	93	86	126	125	129
ENSG00000199585	0	0	0	0	0	0
ENSG00000232631	0	0	0	0	0	0
ENSG00000236007	0	0	0	0	0	0
ENSG00000221782	0	0	0	0	0	0
ENSG00000273118	2	1	0	3	1	4
ENSG00000234308	0	0	0	0	0	0
ENSG00000231254	0	0	0	0	0	0
ENSG00000223373	1	0	0	2	0	0
ENSG00000266354	0	0	0	0	0	0
ENSG00000283637	0	0	0	0	0	0
ENSG00000030419	759	816	820	877	710	861
ENSG00000270659	12	22	20	12	31	13
ENSG00000236193	0	0	0	0	0	0
ENSG00000272519	0	0	0	0	0	4
ENSG00000196096	2	2	2	1	9	4
ENSG00000144451	521	484	587	549	750	502
ENSG00000265734	0	0	0	0	0	0
ENSG00000197585	3	0	0	0	1	0
ENSG00000213917	1	0	0	4	0	1
ENSG00000174453	6	0	6	4	8	5
ENSG00000224257	0	0	0	0	0	0
ENSG00000177261	0	0	0	0	0	0
ENSG00000138376	841	901	1012	743	717	819
ENSG00000229267	3	2	7	2	6	3
ENSG00000207274	0	0	0	0	0	0
ENSG00000230076	1	2	0	2	0	1
ENSG00000144452	68	61	50	73	48	63
ENSG00000227769	0	0	2	4	0	2
ENSG00000237571	0	0	0	0	0	0
ENSG00000138363	2271	2449	2417	2210	2668	2238
ENSG00000115414	19505	17996	16862	16902	11165	16871
ENSG00000230695	4	0	2	2	0	0
ENSG00000225166	0	3	0	0	0	0
ENSG00000228618	0	0	0	0	0	0
ENSG00000234938	0	0	0	0	0	0
ENSG00000237525	0	0	0	0	0	0
ENSG00000227981	0	0	0	0	0	0
ENSG00000235770	0	0	0	1	0	9
ENSG00000230838	0	0	0	0	0	0
ENSG00000216721	0	0	0	0	0	0
ENSG00000227824	0	0	0	0	0	0
ENSG00000226276	2	0	0	2	0	0
ENSG00000118242	287	335	267	292	387	250
ENSG00000115425	126	129	150	116	149	119
ENSG00000163449	39	30	9	29	45	27
ENSG00000079246	8637	9586	9098	8368	10489	8343
ENSG00000232970	1	0	2	2	0	5
ENSG00000236478	5	2	0	11	3	11
ENSG00000279348	67	90	82	98	48	67
ENSG00000260804	140	150	117	155	143	111
ENSG00000144583	48	34	21	49	21	23
ENSG00000231092	3	0	0	0	1	0
ENSG00000233581	0	0	0	0	0	0
ENSG00000207303	0	0	0	0	0	0
ENSG00000235042	0	0	0	0	0	0
ENSG00000138375	683	699	721	626	582	631
ENSG00000232485	2	7	10	3	4	11
ENSG00000241520	1	0	0	0	4	1
ENSG00000197756	5589	4358	8328	7704	8393	4147
ENSG00000224391	0	0	0	0	0	0
ENSG00000225794	0	0	0	0	0	1
ENSG00000235444	0	0	0	0	0	0
ENSG00000115457	5456	6154	5740	5369	9522	6360
ENSG00000115461	15772	14532	14574	19524	11521	14762
ENSG00000236886	3	1	1	5	0	0
ENSG00000237930	0	0	0	1	0	0
ENSG00000222832	0	0	0	0	0	0
ENSG00000229352	0	0	1	2	0	1
ENSG00000234588	0	0	1	0	0	0
ENSG00000231597	1	0	0	1	0	0
ENSG00000118245	0	0	0	1	0	0
ENSG00000237479	0	0	0	1	0	0
ENSG00000227021	1	2	2	0	0	0
ENSG00000236295	0	0	1	2	0	1
ENSG00000223874	0	0	0	0	0	0
ENSG00000259855	1	0	0	0	0	0
ENSG00000251982	0	0	0	0	0	0
ENSG00000233143	8	10	7	9	18	8
ENSG00000278004	0	0	0	0	0	0
ENSG00000231672	8	26	31	25	38	33
ENSG00000224414	0	0	0	1	0	0
ENSG00000231035	0	0	0	0	0	0
ENSG00000079308	403	401	374	408	247	392
ENSG00000275458	0	0	0	0	0	0
ENSG00000223923	0	1	1	0	0	2
ENSG00000188282	0	0	0	0	0	0
ENSG00000229754	0	0	0	0	0	0
ENSG00000180871	8	4	2	1	0	5
ENSG00000163464	0	0	0	0	0	0
ENSG00000224159	0	0	0	0	0	0
ENSG00000163466	2991	2916	2883	3224	3472	2896
ENSG00000261338	17	17	2	6	21	6
ENSG00000179921	1	4	0	7	5	0
ENSG00000127837	1276	1268	1294	1184	1670	1213
ENSG00000127838	362	389	325	303	441	327
ENSG00000135926	566	578	599	527	571	542
ENSG00000284173	0	0	0	0	0	0
ENSG00000237281	3	0	0	0	0	0
ENSG00000278524	0	0	0	0	0	0
ENSG00000230580	0	0	0	0	0	0
ENSG00000158428	12	0	4	6	4	3
ENSG00000225062	0	0	0	0	0	0
ENSG00000018280	0	6	2	5	5	10
ENSG00000144579	1012	940	886	1001	999	929
ENSG00000273361	0	0	0	0	1	0
ENSG00000199121	0	0	0	0	0	0
ENSG00000127831	13	7	3	2	3	8
ENSG00000135913	640	600	665	534	375	534
ENSG00000222714	0	0	0	3	3	0
ENSG00000144580	1492	1726	1570	1192	1400	1290
ENSG00000207393	3	1	0	0	0	0
ENSG00000115556	75	58	77	34	48	49
ENSG00000273466	0	0	0	0	0	0
ENSG00000115568	609	513	513	523	358	637
ENSG00000074582	333	355	423	341	428	354
ENSG00000163481	249	224	175	205	297	245
ENSG00000163482	564	642	602	521	480	567
ENSG00000135912	1468	1340	1374	1254	974	1385
ENSG00000135929	22	23	14	18	8	10
ENSG00000272555	0	0	0	0	0	0
ENSG00000115592	0	0	0	0	0	0
ENSG00000283639	0	0	0	0	0	0
ENSG00000232625	0	0	0	0	0	0
ENSG00000115596	993	909	869	717	1161	814
ENSG00000135925	3	5	3	7	4	0
ENSG00000228135	0	0	1	3	3	4
ENSG00000200029	1	0	1	3	2	1
ENSG00000235024	0	0	0	0	0	0
ENSG00000224928	3	0	1	1	0	1
ENSG00000171450	3	8	3	0	0	0
ENSG00000236445	0	0	0	0	0	0
ENSG00000163497	0	0	0	0	0	0
ENSG00000163499	2	1	0	1	0	0
ENSG00000198973	0	0	0	0	0	0
ENSG00000224090	1	0	1	2	1	6
ENSG00000181378	4	0	0	2	3	2
ENSG00000163501	3	5	0	2	1	0
ENSG00000264755	0	0	0	0	0	0
ENSG00000272644	21	37	28	29	16	22
ENSG00000187736	1	6	3	2	1	1
ENSG00000280537	0	0	4	3	0	3
ENSG00000240317	0	0	0	0	0	0
ENSG00000213901	1	0	1	2	0	2
ENSG00000115649	595	542	506	409	483	491
ENSG00000144567	1089	1192	1295	1018	1185	1102
ENSG00000158552	142	163	160	178	252	185
ENSG00000115657	23	25	28	19	14	21
ENSG00000284820	2	1	2	1	0	1
ENSG00000198925	562	522	552	450	381	565
ENSG00000163516	531	502	553	515	488	466
ENSG00000163521	78	61	73	96	107	93
ENSG00000115661	340	374	367	291	473	306
ENSG00000127824	13	6	13	7	5	6
ENSG00000243910	0	0	0	0	0	0
ENSG00000135924	607	595	590	575	643	569
ENSG00000054356	72	57	50	50	59	40
ENSG00000207647	0	0	0	0	0	0
ENSG00000230432	0	0	0	0	0	0
ENSG00000182698	0	0	0	0	0	0
ENSG00000232789	0	0	0	0	0	0
ENSG00000123992	635	597	619	486	557	489
ENSG00000229525	1	5	2	6	4	1
ENSG00000175084	3	2	0	1	1	1
ENSG00000234638	0	0	0	0	0	0
ENSG00000280323	0	0	0	0	0	0
ENSG00000072195	388	321	274	352	316	314
ENSG00000227432	0	0	0	0	0	0
ENSG00000268603	0	0	0	0	0	0
ENSG00000144591	639	606	672	483	615	539
ENSG00000072182	9	1	7	6	5	6
ENSG00000123989	1696	1638	1403	1553	1933	1682
ENSG00000188760	72	83	41	49	77	47
ENSG00000268896	0	0	0	0	0	1
ENSG00000265252	0	0	0	0	0	0
ENSG00000124006	3040	3167	3074	3168	3084	3236
ENSG00000269068	20	23	39	24	10	23
ENSG00000123999	31	6	10	13	23	12
ENSG00000222678	0	0	0	0	0	0
ENSG00000144589	369	383	293	343	341	330
ENSG00000228973	3	1	0	0	2	1
ENSG00000114923	198	167	174	216	131	203
ENSG00000267919	1	0	3	1	0	3
ENSG00000231802	0	0	0	0	0	0
ENSG00000227308	0	0	0	0	1	0
ENSG00000223903	0	0	0	0	0	0
ENSG00000228909	0	0	0	0	0	0
ENSG00000266518	0	0	0	0	0	0
ENSG00000225911	0	0	0	0	0	0
ENSG00000239498	0	0	0	0	0	0
ENSG00000235337	0	0	0	0	0	0
ENSG00000236451	0	0	0	0	0	0
ENSG00000224819	0	0	0	0	0	0
ENSG00000232089	0	0	0	0	0	0
ENSG00000116106	474	402	545	399	351	410
ENSG00000226726	0	0	0	1	1	0
ENSG00000272944	13	28	13	15	16	16
ENSG00000230406	0	0	0	0	0	0
ENSG00000234446	0	0	0	0	0	0
ENSG00000233868	6	5	6	18	8	6
ENSG00000226666	3	1	0	0	2	2
ENSG00000226331	0	0	0	0	0	0
ENSG00000135903	25	23	10	12	19	15
ENSG00000163081	0	0	0	0	0	0
ENSG00000267034	1	0	0	2	4	0
ENSG00000237732	0	1	1	0	0	5
ENSG00000200822	0	0	0	0	0	0
ENSG00000163082	6	14	4	6	5	8
ENSG00000228670	0	0	0	0	0	0
ENSG00000202016	0	0	0	0	0	0
ENSG00000234285	1	0	0	0	0	0
ENSG00000261428	11	18	29	25	10	22
ENSG00000116120	926	1184	1175	886	1096	977
ENSG00000124003	0	5	2	0	0	2
ENSG00000233751	0	0	0	0	0	0
ENSG00000203531	0	0	0	0	0	0
ENSG00000235225	0	0	0	0	0	0
ENSG00000123983	4923	5389	5674	5107	5616	4796
ENSG00000224121	1	2	1	1	7	4
ENSG00000234193	4	13	8	10	9	16
ENSG00000278083	1	0	2	4	2	2
ENSG00000152049	1	0	0	1	0	0
ENSG00000243125	0	0	0	0	0	0
ENSG00000233299	0	0	0	0	0	0
ENSG00000231189	0	0	0	0	0	0
ENSG00000235610	0	0	0	0	0	0
ENSG00000171951	40	39	36	35	49	22
ENSG00000226539	19	11	7	11	19	15
ENSG00000152056	165	156	178	139	147	156
ENSG00000085449	1450	1498	1594	1378	1553	1260
ENSG00000135900	449	500	569	460	712	515
ENSG00000228802	0	0	3	0	3	5
ENSG00000135919	497	431	395	496	532	347
ENSG00000224826	0	0	0	0	0	0
ENSG00000228681	0	0	0	0	0	0
ENSG00000124019	0	0	0	0	0	0
ENSG00000274629	1	0	7	0	0	0
ENSG00000036257	1590	1793	1572	1589	1759	1523
ENSG00000228446	8	6	2	3	0	4
ENSG00000283428	0	0	0	0	0	0
ENSG00000135905	2	0	0	1	1	3
ENSG00000263828	0	0	0	0	0	0
ENSG00000144460	0	0	0	1	0	1
ENSG00000228206	0	0	0	0	0	0
ENSG00000273301	0	1	2	3	0	0
ENSG00000279015	0	0	0	0	0	0
ENSG00000230621	0	0	0	0	0	0
ENSG00000235070	0	0	0	0	0	0
ENSG00000263363	0	0	0	0	0	0
ENSG00000169047	2108	2126	2204	2376	1673	2466
ENSG00000272622	6	3	1	7	13	5
ENSG00000261379	0	0	1	1	0	5
ENSG00000144468	493	580	569	618	510	533
ENSG00000212391	1	0	0	1	0	2
ENSG00000081052	13	7	22	17	22	27
ENSG00000169031	7	5	12	14	8	23
ENSG00000236432	10	22	17	21	19	31
ENSG00000168958	1054	1175	1306	1076	1417	1072
ENSG00000168955	0	0	0	0	0	1
ENSG00000284629	0	0	0	0	0	0
ENSG00000284092	0	0	3	0	0	0
ENSG00000173744	2105	2416	2392	2103	2132	2166
ENSG00000285843	0	0	0	0	0	0
ENSG00000284643	0	0	0	0	0	0
ENSG00000284622	0	1	0	0	0	0
ENSG00000042304	0	0	1	0	0	0
ENSG00000284704	0	0	0	0	0	0
ENSG00000236116	0	0	0	0	0	0
ENSG00000284631	0	0	0	0	0	0
ENSG00000284667	0	0	0	0	0	0
ENSG00000135917	500	554	461	384	459	390
ENSG00000284725	0	0	0	0	0	0
ENSG00000284718	0	0	0	0	0	0
ENSG00000284635	0	0	0	0	0	0
ENSG00000252346	0	0	0	0	0	0
ENSG00000226718	0	0	0	0	0	0
ENSG00000229172	0	0	0	0	0	0
ENSG00000115009	0	0	0	0	0	0
ENSG00000183514	0	0	0	0	0	0
ENSG00000123977	39	50	55	32	33	36
ENSG00000272237	0	0	1	0	0	0
ENSG00000153820	0	1	0	0	3	1
ENSG00000200281	0	0	0	0	0	0
ENSG00000203387	0	0	0	0	0	0
ENSG00000232023	0	0	0	0	0	0
ENSG00000228226	0	0	0	0	0	0
ENSG00000237322	0	0	0	0	0	0
ENSG00000153823	35	17	13	15	18	14
ENSG00000226297	0	0	0	0	0	0
ENSG00000253006	0	0	0	0	0	0
ENSG00000187957	6	7	2	9	5	9
ENSG00000238782	0	0	0	0	0	0
ENSG00000235993	0	0	0	0	0	0
ENSG00000153827	4080	4184	4197	4157	3587	3911
ENSG00000222344	0	0	0	0	0	0
ENSG00000153832	69	96	80	83	85	72
ENSG00000252333	0	0	0	0	0	0
ENSG00000231534	2	0	0	0	0	0
ENSG00000206725	0	0	0	0	4	0
ENSG00000163053	66	65	62	100	97	100
ENSG00000199400	0	0	0	0	4	0
ENSG00000225963	0	4	1	5	4	8
ENSG00000283451	0	0	0	0	0	0
ENSG00000135899	50	53	47	62	66	54
ENSG00000079263	1	6	3	9	3	5
ENSG00000185404	66	38	42	28	26	41
ENSG00000279964	0	0	0	0	0	0
ENSG00000067066	51	41	44	47	41	39
ENSG00000243650	0	0	0	0	0	0
ENSG00000250011	0	0	0	0	0	0
ENSG00000235419	0	0	0	0	0	0
ENSG00000183022	0	0	0	0	0	0
ENSG00000283202	0	0	0	0	0	0
ENSG00000199791	0	0	0	0	0	0
ENSG00000226125	0	1	1	0	4	2
ENSG00000135932	1533	1559	1610	1336	1623	1306
ENSG00000237758	1	2	4	10	3	2
ENSG00000201044	0	0	0	0	0	4
ENSG00000270891	0	0	0	0	0	0
ENSG00000135916	3256	2995	3211	3083	3296	2689
ENSG00000232520	0	0	0	0	2	0
ENSG00000135898	0	0	0	0	0	0
ENSG00000230385	0	0	0	0	0	0
ENSG00000283164	0	0	0	0	0	0
ENSG00000235013	0	0	0	0	0	0
ENSG00000238062	0	0	0	0	0	0
ENSG00000173699	0	5	0	0	0	0
ENSG00000204128	79	70	117	70	60	78
ENSG00000261829	2	0	0	2	0	0
ENSG00000173692	2871	2823	2941	2769	3216	2634
ENSG00000135914	4	4	1	6	0	4
ENSG00000201574	0	0	0	0	0	0
ENSG00000135931	384	363	383	367	325	345
ENSG00000237039	1	2	1	1	1	1
ENSG00000263641	0	0	0	0	0	1
ENSG00000224376	6	3	4	7	7	3
ENSG00000156966	168	154	151	125	150	148
ENSG00000172799	0	0	0	1	0	0
ENSG00000230047	0	0	0	0	1	0
ENSG00000233538	7	7	13	1	3	3
ENSG00000115053	9584	9587	8720	10017	10924	9306
ENSG00000206885	4	8	1	5	5	2
ENSG00000207280	2	8	8	7	3	7
ENSG00000202400	0	0	0	3	0	0
ENSG00000283312	27	32	24	25	34	10
ENSG00000283491	46	25	21	20	22	30
ENSG00000223198	6	6	6	3	13	10
ENSG00000181798	15	21	11	18	19	15
ENSG00000171596	0	0	0	0	0	0
ENSG00000231494	0	0	0	0	0	0
ENSG00000228884	0	0	0	0	0	0
ENSG00000177673	0	0	0	0	0	0
ENSG00000239202	0	0	0	0	0	0
ENSG00000187514	9856	9370	8797	11792	14880	9807
ENSG00000277986	0	0	0	0	0	0
ENSG00000284378	0	0	0	0	0	0
ENSG00000156973	215	197	212	212	221	185
ENSG00000281072	0	0	0	0	0	0
ENSG00000144524	971	865	912	947	885	853
ENSG00000237641	4	8	14	9	7	17
ENSG00000261096	9	5	3	12	5	3
ENSG00000260622	0	0	0	0	0	0
ENSG00000222246	0	0	0	0	0	0
ENSG00000163273	0	0	0	0	0	0
ENSG00000144535	480	537	457	462	358	457
ENSG00000227033	0	0	0	0	0	0
ENSG00000207626	0	0	0	0	0	0
ENSG00000251485	5	6	12	6	6	22
ENSG00000230122	1	0	6	1	1	1
ENSG00000275157	0	2	0	0	0	4
ENSG00000163283	51	34	45	39	18	50
ENSG00000224516	0	2	0	1	0	0
ENSG00000244280	134	119	109	128	136	168
ENSG00000163286	14	7	12	11	11	6
ENSG00000204121	10	0	1	5	6	8
ENSG00000237087	3	3	0	2	4	1
ENSG00000223788	0	0	0	0	0	0
ENSG00000163295	0	0	0	0	0	0
ENSG00000171551	10	4	0	7	6	6
ENSG00000237412	0	0	0	0	0	0
ENSG00000135902	1	1	0	2	0	4
ENSG00000196811	9	12	6	4	2	13
ENSG00000221944	58	72	54	66	86	42
ENSG00000135930	789	814	796	876	1036	790
ENSG00000284407	0	0	0	0	0	0
ENSG00000237126	12	16	16	20	19	19
ENSG00000115468	66	101	77	110	99	84
ENSG00000244384	0	0	0	0	0	0
ENSG00000204120	1559	1460	1427	1620	1118	1444
ENSG00000213055	0	0	0	1	11	2
ENSG00000241409	3	1	0	0	1	2
ENSG00000115474	17	23	30	14	24	19
ENSG00000252452	2	0	0	1	0	1
ENSG00000199781	1	0	1	0	0	0
ENSG00000182600	33	17	22	19	15	15
ENSG00000066248	23	26	53	37	45	42
ENSG00000222001	0	0	0	0	0	0
ENSG00000115488	0	0	0	0	0	0
ENSG00000168918	686	625	500	698	473	541
ENSG00000263941	0	0	0	0	0	0
ENSG00000085978	542	691	723	638	619	707
ENSG00000252010	8	1	1	4	1	2
ENSG00000251791	8	7	11	1	2	9
ENSG00000130561	0	0	4	0	3	0
ENSG00000259793	0	0	0	0	0	0
ENSG00000077044	1236	1169	1071	1037	809	997
ENSG00000201013	1	0	0	0	0	2
ENSG00000085982	768	804	766	785	673	727
ENSG00000271639	2	0	2	0	1	2
ENSG00000228949	0	0	0	0	0	0
ENSG00000227846	0	0	0	0	0	0
ENSG00000242366	0	0	0	0	0	0
ENSG00000242515	0	0	0	0	0	1
ENSG00000234143	0	0	0	0	0	0
ENSG00000241119	0	0	0	0	0	0
ENSG00000244122	0	0	0	0	0	0
ENSG00000167165	0	0	0	0	0	0
ENSG00000224814	0	0	0	0	0	0
ENSG00000240224	0	0	0	0	0	0
ENSG00000244474	0	0	0	0	0	0
ENSG00000233445	0	0	0	0	0	0
ENSG00000243135	0	0	0	0	0	0
ENSG00000248114	0	0	0	0	0	0
ENSG00000227802	0	0	0	0	0	0
ENSG00000228445	0	0	0	0	0	0
ENSG00000248705	0	0	0	0	0	0
ENSG00000178836	0	0	0	0	0	0
ENSG00000241635	0	0	0	0	0	0
ENSG00000185038	1	1	0	0	3	0
ENSG00000123485	1046	1068	967	1097	1144	954
ENSG00000224287	2	2	13	6	4	9
ENSG00000279809	0	0	0	0	0	0
ENSG00000144481	3	1	0	0	0	0
ENSG00000237581	0	0	0	0	0	0
ENSG00000072080	0	0	0	0	0	0
ENSG00000279218	0	0	0	0	0	0
ENSG00000226442	0	0	0	0	0	0
ENSG00000261298	0	0	0	0	0	0
ENSG00000237784	0	0	0	0	0	0
ENSG00000228162	0	0	0	0	0	0
ENSG00000231682	0	0	0	0	0	0
ENSG00000232690	0	0	0	0	0	2
ENSG00000188042	2127	2283	2379	2141	2434	2359
ENSG00000280744	0	0	0	0	0	0
ENSG00000278593	0	0	0	0	0	0
ENSG00000235726	12	15	5	3	7	2
ENSG00000130147	1426	1432	1336	1230	1080	1233
ENSG00000226542	0	0	0	0	0	0
ENSG00000231032	0	0	0	0	0	0
ENSG00000235293	0	0	0	0	0	0
ENSG00000157985	1141	994	924	1116	795	1018
ENSG00000235529	10	4	2	11	7	7
ENSG00000222007	6	0	3	1	2	2
ENSG00000228499	0	0	0	0	1	0
ENSG00000238812	0	0	0	0	1	0
ENSG00000264676	0	0	0	0	0	0
ENSG00000207049	0	0	0	0	0	0
ENSG00000168505	0	1	0	0	0	2
ENSG00000233611	0	0	0	0	0	0
ENSG00000182177	0	1	1	1	3	1
ENSG00000200745	0	0	0	0	0	0
ENSG00000132321	297	311	272	259	259	283
ENSG00000270540	0	0	0	0	0	2
